HR,Name,DM,glon,glat,vmag,spectype,parallax,Dmag,Sep,,
5586,19Del Lib,BD-07 3938,348.87,42.51,4.92,B9.5V,0.02,6.4,106.3,,50
5622,21Nu  Lib,BD-15 4026,344,35.62,5.2,K5-III,0.02,,,,50
5679,4    Ser,BD+00 3327,1.32,46.23,5.63,A4V,0.02,,,,50
5763,52Nu 1Boo,BD+41 2609,66.11,54.58,5.02,K4.5IIIbBa0.4,0.02,,,,50
5774,53Nu 2Boo,BD+41 2611,66.17,54.41,5.02,A5V,0.02,0,0.1,,50
6020,Del1Aps,CP-78 1092,312.42,-19.89,4.68,M5IIIb,0.02,0.4,102.9,,50
6021,Del2Aps,CP-78 1093,312.44,-19.88,5.27,K3III,0.02,0.4,102.9,,50
6023,11Phi Her,BD+45 2376,70.85,47.11,4.26,B9p:Mn:,0.02,,,,50
6031,15Psi Sco,BD-09 4324,2.54,28.81,4.94,A3IV,0.02,,,,50
6055,,CP-53 7594,330.4,-2.27,5.44,M2III,0.02,,,,50
6165,23Tau Sco,CD-2711015,351.54,12.81,2.82,B0V,0.02,,,,50
6293,54    Her,BD+18 3266,37.86,33.62,5.35,K4III,0.02,4.2,2.5,,50
6566,27    Dra,BD+68  938,98.42,32.4,5.05,K0III,0.02,6.2,163.4,,50
6602,83    Her,BD+24 3231,48.81,25.43,5.52,K4III,0.02,3.6,159.6,,50
6848,,BD-18 4896,12.7,-1.47,6.84,B0Ib,0.02,0.5,0.4,,50
6981,,BD+16 3560,46.5,11,6.21,G2V+G2V,0.02,0.2,1.8,,50
7102,9Nu 2Lyr,BD+32 3228,62.4,14.5,5.25,A3V,0.02,7.8,19,,50
7117,,BD+73  835,105.11,26.39,5.27,K0II-III,0.02,,,,50
7329,Eta Tel,CP-54 9339,342.9,-26.21,5.05,A0Vn,0.02,,,,50
7371,58Pi  Dra,BD+65 1345,96.9,21.66,4.59,A2III s,0.02,,,,50
7552,,CD-4013514,0.03,-28.05,5.33,A0pCrSr:,0.02,,,,50
7649,63    Sgr,BD-14 5618,28.27,-21.69,5.71,A3V,0.02,,,,50
7652,,CD-3813828,2.77,-29.84,4.77,K5III,0.02,,,,50
7714,,CP-5211643,346.13,-33.6,5.65,K4III,0.02,,,,50
7987,,CD-4014078,2.3,-39.76,5.35,K2III,0.02,,,,50
8127,28Phi Cap,BD-21 5974,28.19,-40.61,5.24,gG9,0.02,,,,50
8266,74    Cyg,BD+39 4612,87.62,-8.76,5.01,A5V,0.02,,,,50
8368,Del Ind,CP-55 9733,339.11,-48.12,4.4,F0IV,0.02,0.1,0.1,,50
8485,,BD+38 4711,92.76,-13.75,4.49,K3III,0.02,6.3,28.4,,50
210,,CD-23  293,108.14,-85.24,5.5,G3V,0.021,,,,47.61904762
322,Bet Phe,CD-47  324,295.51,-70.2,3.31,G8III,0.021,0.2,1,,47.61904762
442,39Chi Cas,BD+58  260,128.35,-3.19,4.71,G9IIIb,0.021,,,,47.61904762
464,51    And,BD+47  467,130.81,-13.53,3.57,K3-III,0.021,,,,47.61904762
574,,CD-47  597,274.84,-66,4.83,G8III,0.021,,,,47.61904762
1077,,BD+59  675,142.05,3.39,6.46,F3V,0.021,0.9,1.1,,47.61904762
1373,61Del1Tau,BD+17  712,178.01,-22.01,3.76,K0-IIICN0.5,0.021,8.7,109.6,,47.61904762
1470,,BD+26  731,172.92,-13.2,6.47,F2V:,0.021,0.1,4,,47.61904762
1478,91Sig1Tau,BD+15  665,182.07,-20.07,5.07,A4m,0.021,0.4,431.2,,47.61904762
1491,,BD+75  189,135.73,19.4,6.06,A9IV,0.021,6,96.9,,47.61904762
1577,3Iot Aur,BD+32  855,170.59,-6.16,2.69,K3II,0.021,,,,47.61904762
1599,5    Aur,BD+39 1133,166.09,-1.79,5.95,F5V,0.021,3.4,3.7,,47.61904762
1782,,BD-01  882,203.35,-19.8,6.11,F7V,0.021,0,2.7,,47.61904762
1787,27    Ori,BD-01  886,203.46,-19.68,5.08,G9III-IVFe-1,0.021,,,,47.61904762
1989,131    Tau,BD+14 1025,192.6,-7.14,5.72,A3Vn,0.021,,,,47.61904762
2034,136    Tau,BD+27  899,182.01,0.77,4.58,A0V,0.021,1.5,0,,47.61904762
2356,11Bet Mon,BD-06 1574,216.66,-8.21,4.6,B3Ve,0.021,0.5,7.1,,47.61904762
2357,11Bet Mon,BD-06 1575,216.66,-8.21,5.4,B3ne,0.021,0.5,7.1,,47.61904762
2358,11Bet Mon,BD-06 1575,216.66,-8.21,5.6,B3e,0.021,0.5,7.1,,47.61904762
2540,34The Gem,BD+34 1481,182.1,15.02,3.6,A3III,0.021,7.9,78.7,,47.61904762
2707,21    Mon,BD-00 1634,215.48,4.3,5.45,A8Vn-F3Vn,0.021,,,,47.61904762
2930,71Omi Gem,BD+34 1649,184.97,24.23,4.9,F3III,0.021,,,,47.61904762
3082,,BD+79  265,134.47,29.96,5.42,A0pSi,0.021,8.3,6.7,,47.61904762
3131,,BD-18 2118,237.16,6,4.61,A2Vn,0.021,,,,47.61904762
3182,,BD+68  524,147.01,32.53,5.32,G7+II,0.021,,,,47.61904762
3248,,BD+12 1803,211.75,24.14,7.13,M7IIIe,0.021,,,,47.61904762
3312,24    Cnc,BD+25 1920,199.28,31.08,7.02,F0III,0.021,0.6,5.7,,47.61904762
3313,24    Cnc,BD+25 1920,199.28,31.08,7.81,F7V,0.021,0.6,5.7,,47.61904762
3350,,CP-52 1484,269.26,-8.44,5.09,A9-F0III-IV,0.021,,,,47.61904762
3433,Zet Pyx,CD-29 6544,251.59,7.31,4.89,G4III,0.021,4.2,52.4,,47.61904762
3612,,BD+39 2200,184.33,42.15,4.56,G7Ib-II,0.021,,,,47.61904762
3685,Bet Car,CP-69 1023,285.98,-14.41,1.68,A2IV,0.021,,,,47.61904762
3831,,CD-48 4831,273.18,2.52,6.17,ApSrEuCr,0.021,2.4,3.1,,47.61904762
3903,39Ups1Hya,BD-14 2963,251.23,29.44,4.12,G7-III,0.021,,,,47.61904762
4166,37    LMi,BD+32 2061,195.3,60.85,4.71,G2.5IIa,0.021,,,,47.61904762
4191,,BD+46 1657,167.29,58.39,5.18,F5III,0.021,2.8,286.9,,47.61904762
4428,,CD-2310009,280.16,34.77,5.76,A0V,0.021,3,8.3,,47.61904762
4589,8Pi  Vir,BD+07 2502,270.3,66.23,4.66,A5V,0.021,2,0,,47.61904762
4599,The1Cru,CP-62 2543,297.53,-0.95,4.33,Am,0.021,9.3,4.5,,47.61904762
4749,,CP-55 5084,299.75,6.33,6.15,K0-1III,0.021,5.8,49,,47.61904762
4752,17    Com,BD+26 2354,225.22,84.82,5.29,A1IVp,0.021,1.4,145.4,,47.61904762
4788,,CD-43 7755,299.8,18.1,5.77,G1V,0.021,4,1,,47.61904762
4849,33    Vir,BD+10 2468,298.79,72.38,5.67,K1III-IV,0.021,3.1,171.5,,47.61904762
4894,35    Com,BD+22 2519,307.21,84.1,4.9,G8III+F6V,0.021,2.1,1,,47.61904762
4902,40Psi Vir,BD-08 3449,304.14,53.33,4.79,M3-IIICa-1,0.021,3.3,0,,47.61904762
5100,76    Vir,BD-09 3711,319.44,51.37,5.21,K0III,0.021,,,,47.61904762
5105,78    Vir,BD+04 2764,328.27,64.41,4.94,A1pSrCrEu,0.021,,,,47.61904762
5120,,CD-25 9900,315.38,35.28,5.78,A7III,0.021,1,10.1,,47.61904762
5457,,CD-46 9469,321.52,12.36,6.07,F7V,0.021,,,,47.61904762
5495,,CD-51 8457,320.2,6.57,5.21,G8III,0.021,7.8,8.9,,47.61904762
5529,,BD+38 2593,63.78,63.12,6.16,F2V,0.021,,,,47.61904762
5550,,BD+16 2705,17.22,59.51,6.4,F9V,0.021,0.5,1.5,,47.61904762
5675,3    Ser,BD+05 2985,6.46,49.21,5.33,K0III,0.021,,,,47.61904762
5788,13Del Ser,BD+11 2821,17.59,48.19,3.8,F0IV,0.021,1.1,3.9,,47.61904762
5789,13Del Ser,BD+11 2821,17.59,48.19,3.8,F0IV,0.021,1.1,3.9,,47.61904762
5823,54Phi Boo,BD+40 2907,64.95,53.37,5.24,G7III-IVFe-2,0.021,,,,47.61904762
5826,15The UMi,BD+77  592,112.85,36.46,4.96,K5III,0.021,,,,47.61904762
5845,22Tau7Ser,BD+18 3059,29.69,49.96,5.81,A2m,0.021,,,,47.61904762
5879,35Kap Ser,BD+18 3074,30.1,48.33,4.09,M0.5IIIab,0.021,,,,47.61904762
5997,10Ome2Sco,BD-20 4408,352.7,22.54,4.32,G3II-III,0.021,,,,47.61904762
6029,12    Sco,CD-2811962,347.75,16.5,5.67,B9V,0.021,2.1,3.9,,47.61904762
6108,21Nu 2CrB,BD+34 2774,54.69,44.51,5.39,K5III,0.021,,,,47.61904762
6255,21    Oph,BD+01 3323,19.35,27.04,5.51,A2V s,0.021,1.5,0.4,,47.61904762
6280,23    Oph,BD-05 4374,12.89,22.52,5.25,K2III,0.021,,,,47.61904762
6469,,BD+40 3136,64.69,33.58,5.51,F9Vn:,0.021,,0,,47.61904762
6492,45    Oph,CD-2913557,357.08,2.85,4.29,F5IVDel Sct*,0.021,,,,47.61904762
6698,64Nu  Oph,BD-09 4632,18.17,6.98,3.34,K0IIIaCN-1,0.021,,,,47.61904762
6703,92Xi  Her,BD+29 3156,54.91,23.77,3.7,G8+III,0.021,,,,47.61904762
6723,68    Oph,BD+01 3560,28.38,11.64,4.45,A2Vn,0.021,2.5,0.6,,47.61904762
6749,,CD-4312272,349.45,-10.86,5.77,A5V,0.021,0.1,1.6,,47.61904762
6750,,CD-4312272,349.45,-10.86,5.77,A5V,0.021,0.1,1.6,,47.61904762
6770,71    Oph,BD+08 3582,35.82,13.74,4.64,G8III,0.021,,,,47.61904762
6877,107    Her,BD+28 2981,56.4,18.86,5.12,A7V,0.021,,,,47.61904762
6945,42    Dra,BD+65 1271,95.42,27.13,4.82,K1.5IIIFe-0.5,0.021,,,,47.61904762
7051,4Eps1Lyr,BD+39 3509,68.85,18.2,5.06,A4V,0.021,0,209.3,,47.61904762
7052,4Eps1Lyr,BD+39 3509,68.85,18.2,6.02,F1V,0.021,0,209.3,,47.61904762
7053,5Eps2Lyr,BD+39 3510,68.79,18.17,5.14,A8Vn,0.021,0,209.3,,47.61904762
7054,5Eps2Lyr,BD+39 3510,68.79,18.17,5.37,F0Vn,0.021,0,209.3,,47.61904762
7178,14Gam Lyr,BD+32 3286,63.32,12.81,3.24,B9III,0.021,8.3,176.9,,47.61904762
7193,12    Aql,BD-05 4840,28.98,-4.89,4.02,K1III,0.021,,,,47.61904762
7307,,BD+14 3852,48.69,1.19,5.63,B9.5V,0.021,3.8,8.2,,47.61904762
7441,9    Cyg,BD+29 3651,63.87,4.5,5.38,F8III+A0V,0.021,0.5,0.1,,47.61904762
7495,,BD+45 2949,78.71,11.07,5.06,F5II-III,0.021,6.7,88,,47.61904762
7517,15    Cyg,BD+37 3586,71.76,6.6,4.89,G7+III,0.021,,,,47.61904762
7561,57    Sgr,BD-19 5631,21.92,-21.67,5.92,G5III,0.021,,,,47.61904762
7740,33    Cyg,BD+56 2376,91.08,12.06,4.3,A3IV-Vn,0.021,,,,47.61904762
7773,8Nu  Cap,BD-13 5642,31.17,-25.48,4.76,B9.5V,0.021,7,54.1,,47.61904762
7826,40    Cyg,BD+37 3941,77.26,-0.02,5.62,A3V,0.021,,,,47.61904762
7831,69    Aql,BD-03 4918,41.97,-23.1,4.91,K2III,0.021,,,,47.61904762
7925,,BD+59 2272,96.41,11.33,6.01,F6IV,0.021,,,,47.61904762
7950,2Eps Aqr,BD-10 5506,37.68,-30.1,3.77,A1V,0.021,,,,47.61904762
7976,,BD-13 5773,34.83,-32.07,5.88,gK1,0.021,,,,47.61904762
8034,1Eps Equ,BD+03 4473,52.87,-25.78,5.23,F6IV,0.021,0.3,1,,47.61904762
8131,8Alp Equ,BD+04 4635,56.38,-28.71,3.92,G0III+A5V,0.021,,0.1,,47.61904762
8183,33    Cap,BD-21 6007,28.78,-42.56,5.41,K0III,0.021,,,,47.61904762
8276,,BD+19 4754,73.31,-23.55,5.85,F2V,0.021,,,,47.61904762
8339,12    Cep,BD+60 2294,102.22,5.45,5.52,M1IIIb,0.021,,,,47.61904762
8499,43The Aqr,BD-08 5845,53.51,-48.62,4.16,G8III-IV,0.021,,,,47.61904762
8538,3Bet Lac,BD+51 3358,101.26,-4.3,4.43,G8.5IIIbCa1,0.021,,,,47.61904762
8573,57Sig Aqr,BD-11 5850,52.49,-53.05,4.82,A0IV s,0.021,,,,47.61904762
8576,17Bet PsA,CD-3217126,14.59,-59.32,4.29,A0V,0.021,3.5,30.3,,47.61904762
8679,71Tau2Aqr,BD-14 6354,52.27,-58.52,4.01,M0III,0.021,4.5,132.5,,47.61904762
8699,15    Lac,BD+42 4521,100.97,-14.41,4.94,M0III,0.021,6,104.4,,47.61904762
8720,23Del PsA,CD-3316303,13.69,-64.46,4.21,G8III,0.021,5,5.2,,47.61904762
8782,83    Aqr,BD-08 6018,65.67,-58.2,5.43,F2IV+F0V,0.021,0.2,0.2,,47.61904762
8805,5    And,BD+48 3944,106.09,-10.16,5.7,F5V,0.021,,,,47.61904762
63,24The And,BD+37   34,115.62,-23.7,4.61,A2V,0.022,,,,45.45454545
194,17Phi1Cet,BD-11  128,116.69,-73.39,4.76,K0III,0.022,,,,45.45454545
217,61    Psc,BD+20  105,121.82,-41.94,6.54,F8V,0.022,,,,45.45454545
258,36    And,BD+22  146,123.97,-39.24,5.47,K1IV,0.022,0.4,0.6,,45.45454545
535,,CD-39  553,259.3,-73.37,6.37,F8V,0.022,7,28,,45.45454545
592,49    Cas,BD+75   86,127.44,13.9,5.22,G8III,0.022,7,5.4,,45.45454545
622,4Bet Tri,BD+34  381,140.55,-25.2,3,A5III,0.022,,,,45.45454545
649,65Xi 1Cet,BD+08  345,154.55,-48.95,4.37,G6II-IIICN-2,0.022,2,0,,45.45454545
728,,BD+24  358,149.62,-32.45,5.92,F6IV,0.022,4.5,113.1,,45.45454545
1085,,BD+17  575,168.8,-30.19,6.17,K1IVFe-1,0.022,,,,45.45454545
1107,,BD+86   51,125.76,24.91,5.86,F5IV,0.022,,,,45.45454545
1489,,BD+37  954,164.66,-5.27,5.99,G0V,0.022,,,,45.45454545
1547,97    Tau,BD+18  743,181.38,-15.91,5.1,A7IV-V,0.022,5.3,177,,45.45454545
1611,64    Eri,BD-12 1047,211.94,-30.34,4.79,F0IV,0.022,,,,45.45454545
1641,10Eta Aur,BD+41 1058,165.35,0.27,3.17,B3V,0.022,,,,45.45454545
1746,21    Ori,BD+02  916,199.54,-19.12,5.34,F5II,0.022,,,,45.45454545
2035,15Del Lep,BD-20 1211,225.82,-22.22,3.81,K0IIIFe-1.5CH0.5,0.022,,,,45.45454545
2077,33Del Aur,BD+54  970,158.95,14.69,3.72,K0-III,0.022,5.8,115.4,,45.45454545
2095,37The Aur,BD+37 1380,174.34,6.73,2.62,A0pSi,0.022,4.5,3.5,,45.45454545
2113,,BD-03 1256,209.79,-12.83,4.53,K1.5IIIFe-1.5,0.022,,,,45.45454545
2264,45    Aur,BD+53 1008,161.14,17.33,5.36,F5III,0.022,,,,45.45454545
2379,,BD-12 1518,221.81,-10.01,5.15,K3III,0.022,8.3,14.8,,45.45454545
2574,14The CMa,BD-11 1681,223.98,-4.85,4.07,K4III,0.022,,,,45.45454545
2748,,CD-44 3227,255.77,-15.04,5.1,M5IIIe,0.022,6.4,62,,45.45454545
2793,65    Aur,BD+37 1707,181.57,21.58,5.13,K0III,0.022,5.5,11.4,,45.45454545
2808,57    Gem,BD+25 1660,193.34,17.78,5.03,G8III,0.022,,,,45.45454545
3008,11    CMi,BD+11 1670,209.33,17,5.3,A1Vnn,0.022,,,,45.45454545
3075,,BD+74  338,140.86,30.73,5.41,K3III,0.022,,,,45.45454545
3455,,CP-57 1644,274.02,-9.53,6.34,A3V,0.022,1.9,3.8,,45.45454545
3634,Lam Vel,CD-42 4990,265.94,2.82,2.21,K4.5Ib-II,0.022,12.6,18.2,,45.45454545
3709,27    Hya,BD-08 2643,241.08,27.11,4.8,G8III-IV+F5V,0.022,1.9,231.8,,45.45454545
3748,30Alp Hya,BD-08 2680,241.49,29.05,1.98,K3II-III,0.022,7.5,283.1,,45.45454545
3803,,CP-56 2270,278.21,-4.11,3.13,K5III,0.022,,,,45.45454545
4057,41Gam1Leo,BD+20 2467,216.55,54.65,2.61,K1-IIIbFe-0.5,0.022,1.2,4.5,,45.45454545
4058,41Gam2Leo,BD+20 2467,216.55,54.65,3.8,G7IIIFe-1,0.022,1.2,4.5,,45.45454545
4100,31Bet LMi,BD+37 2080,186.28,58.28,4.21,G9IIIab,0.022,1.7,0.5,,45.45454545
4216,Mu  Vel,CD-48 5913,283.03,8.57,2.69,G5III+G2V,0.022,3.7,1.7,,45.45454545
4466,,CD-46 7205,289.99,13.32,5.25,A7m,0.022,,,,45.45454545
4527,93    Leo,BD+21 2358,235.01,73.93,4.53,G5III-IVe+A7V,0.022,4.4,74.3,,45.45454545
4546,,CD-44 7614,291.92,16.4,4.46,K3III,0.022,,,,45.45454545
4668,,BD+33 2213,172.65,80.4,5,K0.5IIIb,0.022,,,,45.45454545
4910,43Del Vir,BD+04 2669,305.53,66.25,3.38,M3+III,0.022,7,164.5,,45.45454545
5110,,BD+37 2426,83.33,76.41,4.98,F2IV,0.022,,,,45.45454545
5315,98Kap Vir,BD-09 3878,333.51,47.7,4.19,K2.5IIIFe-0.5,0.022,,,,45.45454545
5323,14    Boo,BD+13 2764,0.78,66.03,5.54,F6IV,0.022,,,,45.45454545
5420,24    Boo,BD+50 2084,90.16,60.64,5.59,G3IV,0.022,,,,45.45454545
5960,,BD+55 1793,85.41,46.5,4.95,F0IV,0.022,,,,45.45454545
5962,Eta Nor,CD-4810512,331.97,2.52,4.65,G8III,0.022,,,,45.45454545
6024,Kap Nor,CP-54 7245,329.49,-2.53,4.94,G8III,0.022,7.9,14.9,,45.45454545
6162,,BD+45 2422,71.24,43.01,5.65,A4Vn,0.022,3.3,16.3,,45.45454545
6166,,CD-3411112,346.22,8.09,4.16,K6III,0.022,,,,45.45454545
6241,26Eps Sco,CD-3411285,348.82,6.56,2.29,K2.5III,0.022,,,,45.45454545
6355,60    Her,BD+12 3142,32.78,29.22,4.91,A4IV,0.022,6.1,56,,45.45454545
6942,,CD-3912696,354.99,-13.55,5.16,A3Vn,0.022,,,,45.45454545
7213,Rho Tel,CP-5211356,344.54,-23.35,5.16,F7V,0.022,,,,45.45454545
7281,,CD-4513054,352.43,-22.76,5.92,G8III,0.022,,,,45.45454545
7569,,BD+11 4019,50.33,-7.82,6.13,G0V,0.022,5.5,90.5,,45.45454545
7587,,CP-59 7550,338.4,-31.36,5.26,B9.5IV,0.022,,,,45.45454545
7908,74    Dra,BD+80  660,114.11,23.16,5.96,K0III+F8V,0.022,3.2,209,,45.45454545
8080,24    Cap,CD-2515235,21.98,-40.01,4.5,M0.5III,0.022,7.1,26.2,,45.45454545
8558,55Zet1Aqr,BD-00 4365,65.35,-46.33,4.59,F6IV,0.022,0.2,1.8,,45.45454545
8559,55Zet2Aqr,BD-00 4365,65.35,-46.33,4.42,F3V,0.022,0.2,1.8,,45.45454545
8613,9    Lac,BD+50 3770,102.73,-5.99,4.63,A8IV,0.022,,,,45.45454545
8775,53Bet Peg,BD+27 4480,95.74,-29.05,2.42,M2.5II-III,0.022,7,253.1,,45.45454545
8890,97    Aqr,BD-15 6406,58.78,-66.08,5.2,A3Vp,0.022,0.7,0.4,,45.45454545
24,Kap1Scl,CD-28   16,25.24,-80.63,5.42,F2V,0.023,0.2,1.4,,43.47826087
68,25Sig And,BD+35   44,115.59,-25.61,4.52,A2V,0.023,,,,43.47826087
112,,BD+76   10,121.74,14.2,6.21,K0IV,0.023,,,,43.47826087
184,20Pi  Cas,BD+46  146,121.52,-15.82,4.94,A5V,0.023,,,,43.47826087
352,83Tau Psc,BD+29  190,128.12,-32.58,4.51,K0.5IIIb,0.023,,,,43.47826087
404,,BD-07  223,145.55,-68.33,5.91,F3V,0.023,0.2,0.2,,43.47826087
416,,BD-01  189,141.83,-61.98,6.41,K0IV,0.023,,,,43.47826087
484,,BD+25  276,136.8,-35.78,6.17,F2III,0.023,4.4,10.6,,43.47826087
510,110Omi Psc,BD+08  273,144.61,-51.43,4.26,G8III,0.023,,,,43.47826087
520,,CP-54  377,285.68,-61.74,5.04,A1V,0.023,,,,43.47826087
707,Iot Cas,BD+66  213,132.12,6.29,4.52,A5pSr,0.023,2.2,2.3,,43.47826087
714,Lam Hor,CP-60  199,283.79,-53.2,5.35,F2III,0.023,,,,43.47826087
947,28Ome Per,BD+39  724,150.23,-15.73,4.63,K1III,0.023,6.1,177.4,,43.47826087
1131,38Omi Per,BD+31  642,160.36,-17.74,3.83,B1III,0.023,2.8,1,,43.47826087
1283,43Ome1Tau,BD+19  672,174,-23.09,5.5,K2III,0.023,,,,43.47826087
1549,60    Eri,BD-16  964,214.84,-33.96,5.03,K0III,0.023,,,,43.47826087
1689,11Mu  Aur,BD+38 1063,168.35,-0.3,4.86,A4Vm,0.023,,,,43.47826087
1702,5Mu  Lep,BD-16 1072,217.25,-28.91,3.31,B9IIIpHgMn,0.023,,,,43.47826087
1751,16    Cam,BD+57  879,153.49,11.88,5.28,A0Vn,0.023,7.7,106.2,,43.47826087
1767,Zet Pic,CD-50 1723,257.47,-34.98,5.45,F7III-IV,0.023,,,,43.47826087
1999,52    Ori,BD+06 1027,199.75,-10.98,5.27,A5V,0.023,0.1,1.4,,43.47826087
2040,Bet Col,CD-35 2546,241.35,-27.06,3.12,K2III,0.023,,,,43.47826087
2046,,BD+31 1139,178.66,3.15,5.9,A5IV,0.023,,,,43.47826087
2049,,CP-52  794,259.64,-30.17,5.17,G8III,0.023,,,,43.47826087
2291,,BD+56 1125,158.63,19,5.64,A3Vm,0.023,,,,43.47826087
2527,,BD+77  266,137.55,26.86,4.55,K4III,0.023,,,,43.47826087
2696,63    Aur,BD+39 1882,178.27,20.46,4.9,K4III-IIIa,0.023,,,,43.47826087
2881,,CD-30 4620,244.76,-6,4.65,G3Ib,0.023,,,,43.47826087
2909,,CD-23 5709,238.56,-1.71,5.83,dF4,0.023,0,9.6,,43.47826087
2910,,CD-23 5709,238.56,-1.71,5.87,dF6,0.023,0,9.6,,43.47826087
3102,11    Pup,BD-22 2087,240.64,3.07,4.2,F7II,0.023,,,,43.47826087
3163,8    Cnc,BD+13 1831,209.11,22.16,5.12,A1V,0.023,,,,43.47826087
3275,31    Lyn,BD+43 1815,177.39,34.34,4.25,K4.5III-IIIb,0.023,,,,43.47826087
3431,6    Hya,BD-11 2420,237.4,17.34,4.98,K4III,0.023,,,,43.47826087
3645,,BD+73  452,139.99,36.14,5.96,F0III,0.023,,,,43.47826087
3706,26    Hya,BD-11 2609,243.1,25.49,4.79,G8III,0.023,7.5,3.4,,43.47826087
4180,,CP-54 3915,284.98,2.59,4.28,G2-3Ib,0.023,2.2,51.8,,43.47826087
4395,13Lam Crt,BD-17 3367,275.6,39.37,5.09,F5III,0.023,,,,43.47826087
4567,30Eta Crt,BD-16 3358,284.47,43.73,5.18,A0V,0.023,,,,43.47826087
4635,3    Crv,BD-22 3305,291.12,38.34,5.46,A2V,0.023,,,,43.47826087
4863,7    Dra,BD+67  764,123.53,50.33,5.43,gK5,0.023,,,,43.47826087
5056,67Alp Vir,BD-10 3672,316.11,50.84,0.98,B1III-IV+B2V,0.023,1.5,0,,43.47826087
5322,,BD-05 3837,337.22,51.32,6.36,F9V,0.023,,,,43.47826087
5392,,BD+06 2875,353.1,59.33,5.1,A5V,0.023,,,,43.47826087
5450,,CD-45 9302,321.41,12.9,5.41,G8III,0.023,0,0.1,,43.47826087
5481,32    Boo,BD+12 2729,7.46,59.86,5.56,G8III,0.023,,,,43.47826087
5924,,BD+20 3166,33.84,47.76,5.44,M0III,0.023,,,,43.47826087
5961,Iot1Nor,CP-57 7500,326.35,-3.92,4.63,A7IV,0.023,0.2,0.5,,43.47826087
6227,,BD+16 3013,33.78,34.86,5.56,M3IIIab,0.023,,,,43.47826087
6332,59    Her,BD+33 2817,56.13,36.45,5.25,A3IV,0.023,,,,43.47826087
6396,22Zet Dra,BD+65 1170,96.01,35.04,3.17,B6III,0.023,,,,43.47826087
6405,,CD-3511426,350.92,1.42,6.12,G0IV-V,0.023,7.4,36.5,,43.47826087
6766,,CD-2814174,2.89,-4.02,4.57,G7:IIIb*,0.023,0.8,0.3,,43.47826087
6783,Eps Tel,CD-4512251,347.5,-12.69,4.53,K0III,0.023,8.4,21.2,,43.47826087
6879,20Eps Sgr,CD-3412784,359.2,-9.81,1.85,B9.5III,0.023,12.3,36.1,,43.47826087
6885,,BD+17 3555,45.95,14.19,5.25,K3III,0.023,,,,43.47826087
6936,,CD-3313281,1.11,-10.49,5.34,A3m,0.023,4.5,3.4,,43.47826087
7050,Mu  CrA,CD-4012807,355.51,-16.54,5.24,G5-6III,0.023,,,,43.47826087
7064,,BD+26 3349,56.5,12.9,4.83,K3III,0.023,,,,43.47826087
7251,51    Dra,BD+53 2178,83.76,19.56,5.38,A0Vn,0.023,,,,43.47826087
7291,,CD-2415161,13.46,-15.78,6.25,F9V,0.023,,,,43.47826087
7506,10    Vul,BD+25 3933,61.61,0.98,5.49,G8III,0.023,,,,43.47826087
7595,59Xi  Aql,BD+08 4261,47.81,-9.85,4.71,G9+IIIb,0.023,,,,43.47826087
7610,61Phi Aql,BD+11 4055,50.66,-8.8,5.28,A1IV,0.023,,,,43.47826087
7695,,BD+63 1593,97.08,16.64,6.26,A2II-III,0.023,3.6,5.5,,43.47826087
7724,67Rho Aql,BD+14 4227,56.24,-10.61,4.95,A2V,0.023,,,,43.47826087
7909,,CD-3216130,12.13,-36.07,5.76,M0III,0.023,,,,43.47826087
8055,Mu  Ind,CP-55 9509,342.58,-40.96,5.16,K2III,0.023,,,,43.47826087
8196,,CP-70 2850,323.22,-38.65,5.34,M5III,0.023,,,,43.47826087
8213,36    Cap,BD-22 5692,27.97,-43.87,4.51,G5III,0.023,,,,43.47826087
8220,,BD+31 4462,80.53,-13.44,5.8,F0V,0.023,,,,43.47826087
8228,71    Cyg,BD+45 3558,90.81,-3.35,5.24,K0-III,0.023,,,,43.47826087
8522,32    Peg,BD+27 4299,87.03,-23.88,4.81,B9III,0.023,6.3,72.6,,43.47826087
8634,42Zet Peg,BD+10 4797,78.86,-40.66,3.4,B8V,0.023,8.9,64.3,,43.47826087
8825,6    And,BD+42 4592,104.21,-15.62,5.94,F5IV,0.023,,,,43.47826087
8918,,BD+69 1332,115.92,8.64,5.6,A6IV,0.023,,,,43.47826087
9031,108    Aqr,BD-19 6522,60.54,-73.94,5.18,B9pSiSrCr,0.023,,,,43.47826087
9045,7Rho Cas,BD+56 3111,115.3,-4.52,4.54,G20e,0.023,,,,43.47826087
41,23    And,BD+40   29,115.27,-21.27,5.72,F0IV,0.024,,,,41.66666667
301,26    Cet,BD+00  174,129.39,-61.35,6.04,F1V,0.024,3.4,16,,41.66666667
466,,BD-10  343,156.7,-69.19,6.24,F7V,0.024,0.4,0.2,,41.66666667
681,68Omi Cet,BD-03  353,167.75,-57.98,3.04,M7IIIe+Bep,0.024,7.3,118.7,,41.66666667
840,16    Per,BD+37  646,147.25,-18.86,4.23,F2III,0.024,4.7,249.3,,41.66666667
1093,,CD-31 1450,229.23,-54.48,6.2,F5V,0.024,0.4,0.1,,41.66666667
1189,,CD-38 1297,240.17,-51.53,5.4,A1V,0.024,0.6,8,,41.66666667
1190,,CD-38 1297,240.17,-51.53,4.73,B9V,0.024,0.6,8,,41.66666667
1473,90    Tau,BD+12  618,184.74,-22.24,4.27,A6V,0.024,5.7,119.8,,41.66666667
